음식의 이름,식품 제조사,중량,단위,알러지유발,칼로리,나트륨,탄수화물,당류,포화지방,단백질
꼬북칩 초코츄러스맛,오리온,30,1회제공량,밀/우유/대두,156,75,19,9,5,2
포카칩 오리지널,오리온,30,1회제공량,우유/대두/쇠고기,167,115,15,0.4,4.1,2
치즈뿌린치킨팝,오리온,65,1봉지,밀/우유/대두/쇠고기/닭고기,333,310,42,17,7,3
치킨팝 닭강정맛,오리온,81,1봉지,토마토/대두/밀/쇠고기/닭고기/새우,418,350,52,23,9,3
도도한나초 치즈맛,오리온,30,1회제공량,우유/대두/밀/쇠고기,156,190,18,1,3.6,3
썬,오리온,30,1회제공량,우유/대두/밀/계란/닭고기/쇠고기,156,130,19,2,3.2,2
스윙칩 볶음고추장맛,오리온,60,1봉지,밀/우유대두/토마토/쇠고기,347,220,32,2,7,3
오징어땅콩,오리온,30,1회제공량,땅콩/밀/오징어/새우/게/조개류(굴),147,100,17,6,1.7,4
오감자 감자그라탕,오리온,30,1회제공량,우유/대두/밀/새우/돼지곡,166,170,18,1,3.7,1
눈을감자,오리온,30,1회제공량,우유/대두/밀/닭고기/쇠고기,156,190,19,1,2.6,2
대단한나초,오리온,30,1회제공량,우유/대두/밀/달걀,171,100,16,1,4.7,2
왕고래밥,오리온,56,1봉지,밀/달걀/우유/대두/토마토/돼지고기/쇠고기/오징어/조개류(굴),247,390,42,6,3.6,4
고추칩,오리온,100,100g,우유/대두함유,536,560,56,2,12,6
콰삭칩 사워어니언맛,오리온,30,1회제공량,밀/우유/대두,167,200,16,2,4,1
콰삭칩 트러플솔트맛,오리온,30,1회제공량,밀/대두/우유,167,250,16,2,4.2,1
무뚝뚝 감자칩,오리온,30,1회제공량,대두,166,290,17,1,4.2,2
마켓오 감자톡 매콤달콤,오리온,100,100g,우유/대두,486,710,71,6,10,1
땅콩강정,오리온,30,1회제공량,밀/대두/땅콩/돼지고기,138,80,21,8,0.7,3
초코송이,오리온,36,1곽,밀/우유/대두/쇠고기,190,80,23,15,6,2
크런치 케이준 눈을감자,오리온,30,1회제공량,밀/우유/대두/토마토/쇠고기/닭고기,156,220,19,1,4.2,2
카스타드,오리온,23,1개,계란/밀/우유/대두,102,40,11,6,2.6,1
와클,오리온,76,1곽,밀/우유/대두/쇠고기,377,390,51,13,8,5
쿠쉬쿠쉬 갈릭바게트맛,오리온,32.8,1봉지,우유/밀,148,180,24,4,2.8,3
예감 오리지널,오리온,16,1봉지,우유/대두,76,100,10,2,2,1
예감 치즈그라탕,오리온,17,1봉지,밀/우유/대두/새우/오징어/쇠고기,84,100,11,2,2,1
썬 갈릭바게트,오리온,30,1회제공량,우유/대두/밀,151,130,20,4,3,2
초코칩쿠키 오리지널,오리온,64,1봉지,밀/우유/계란/대두/쇠고기,328,200,42,18,8,4
고소미,오리온,18,1봉지,밀/우유/조개류(굴)/쇠고기,93,55,11,5,2.5,1
하양송이,오리온,36,1곽,밀/우유/대두/쇠고기,200,180,22,14,7,1
배배,오리온,40,1봉지,밀/달걀/우유,192,160,28,13,4.9,2
원조 고소미,오리온,100,100g,밀/우유/대두/쇠고기,460,540,69,9,7,10
참붕어빵,오리온,29,1봉지,계란/밀/우유/게/대두,121,70,17,10,2.3,2
초코파이 정 민트초코,오리온,28,1개,밀/달걀/우유/대두/돼지고기/쇠고기,131,60,16,11,4.3,1
