2019-02-01-00-00-00,전시/행사,2.87,23526,27.15,222554,42.02,344447,24.61,201733,2.63,21559,0.71,5820,1.88,15411,22.98,188372,41.15,337315,28.42,232965,4.26,34920,1.32,10820,21,172141,3.13,25657,28.25,231571,42.25,346332,23.62,193618,2.2,18034,0.55,4508,79,647580,26,819721
2019-02-01-00-00-00,체험,4.88,27900,39.39,225201,32.31,184723,19.41,110971,3.26,18638,0.76,4345,2.94,16809,37.92,216796,30.83,176261,23.4,133782,3.92,22411,0.98,5603,32,182950,5.78,33045,40.08,229145,33,188668,17.55,100337,2.95,16866,0.65,3716,68,388770,33,571720
2019-02-01-00-00-00,콘서트,4.97,7230,33.77,49129,34.58,50307,20.11,29256,5.33,7754,1.25,1819,4.43,6445,35.78,52053,36.15,52591,16.41,23873,5.66,8234,1.57,2284,37,53828,5.28,7681,32.61,47441,33.66,48969,22.24,32355,5.13,7463,1.07,1557,63,91652,21,145480
2019-02-01-00-00-00,클래식,2.78,1435,29.04,14995,33.93,17520,25.37,13100,6.33,3268,2.55,1317,3.04,1570,27.44,14169,33.92,17515,22.19,11458,9.56,4936,3.84,1983,28,14458,2.68,1384,29.68,15325,33.93,17520,26.64,13756,5.04,2602,2.04,1053,71,36661,35,51635
2019-01-01-00-00-00,강좌,1.29,11379,25.73,226959,40.88,360594,26.33,232252,4.99,44016,0.78,6880,1.35,11908,21.19,186913,41.88,369415,28.88,254745,5.86,51690,0.84,7409,42,370474,1.25,11026,28.98,255627,40.16,354243,24.51,216198,4.36,38459,0.73,6439,57,502786,39,882080
2019-01-01-00-00-00,국내숙박,1.01,32465,19.97,641912,39.1,1256823,31.17,1001922,7.13,229185,1.62,52073,1.09,35037,17.5,562517,36.7,1179677,33.07,1062995,9.13,293473,2.51,80681,33,1060745,0.97,31179,21.18,680806,40.28,1294752,30.23,971707,6.15,197684,1.18,37930,67,2153635,39,3214380
2019-01-01-00-00-00,국내여행,1.35,18619,19.75,272392,30.15,415829,32.51,448378,12.73,175572,3.49,48134,1.18,16275,15.99,220534,28.23,389348,33.91,467687,15.09,208121,5.6,77235,34,468928,1.44,19860,21.64,298459,31.13,429345,31.81,438724,11.55,159298,2.43,33515,66,910272,40,1379200
2019-01-01-00-00-00,국악/전통예술,0.65,186,12.52,3577,38.79,11082,36.09,10310,8.89,2540,3.07,877,1.21,346,11.37,3248,32.65,9327,33.01,9430,14.51,4145,7.26,2074,26,7428,0.46,131,12.91,3688,40.9,11684,37.15,10613,6.96,1988,1.62,463,74,21140,22,28568
2019-01-01-00-00-00,뮤지컬,0.62,2234,10.11,36424,56.2,202477,28.58,102968,3.61,13006,0.89,3206,0.52,1873,10.44,37613,48.54,174879,33.48,120621,5.5,19815,1.51,5440,20,72056,0.64,2306,10.02,36100,58.13,209430,27.34,98500,3.13,11277,0.73,2630,80,288223,29,360279
2019-01-01-00-00-00,발레/무용,1.4,131,12.84,1200,43.27,4044,38.29,3579,3.35,313,0.86,80,0,0,14.09,1317,34.9,3262,34.9,3262,10.74,1004,5.37,502,12,1122,1.58,148,12.68,1185,44.37,4147,38.73,3620,2.38,222,0.26,24,88,8224,31,9346
2019-01-01-00-00-00,스포츠,0.99,268,20.96,5675,29.96,8112,44.51,12052,3.08,834,0.49,133,1.75,474,25.44,6888,25.15,6810,43.57,11797,3.22,872,0.88,238,42,11372,0.43,116,17.7,4792,33.48,9065,45.2,12238,2.99,810,0.21,57,57,15433,12,27076
2019-01-01-00-00-00,연극,2.71,30579,49.05,553475,27.89,314708,14.39,162375,4.78,53937,1.18,13315,1.31,14782,44.85,506083,33.22,374851,14.41,162601,4.72,53260,1.48,16700,32,361085,3.37,38027,51.06,576156,25.34,285934,14.38,162262,4.81,54276,1.03,11622,68,767305,38,1128390
2019-01-01-00-00-00,오페라,2.7,1769,17.91,11732,33.78,22127,25.68,16821,16.55,10841,3.38,2214,3.61,2365,21.69,14208,30.12,19730,24.1,15786,15.66,10258,4.82,3157,28,18341,2.35,1539,16.43,10762,35.21,23064,26.29,17221,16.9,11070,2.82,1847,72,47163,16,65504
2019-01-01-00-00-00,전시/행사,2.89,26536,25.72,236162,43.23,396939,25.08,230285,2.46,22588,0.62,5693,2.08,19099,23.76,218165,41.83,384084,27.25,250210,3.87,35534,1.21,11110,19,174458,3.08,28281,26.18,240385,43.56,399969,24.57,225602,2.13,19558,0.48,4407,81,743744,27,918202
2019-01-01-00-00-00,체험,4.37,29926,39.51,270564,35.01,239748,17.63,120730,2.68,18353,0.81,5547,2.48,16983,39.97,273715,33.25,227696,19.33,132372,3.74,25612,1.24,8492,30,205440,5.17,35404,39.31,269195,35.76,244884,16.91,115800,2.23,15271,0.62,4246,70,479360,33,684800
