201103,10803,3083,4014,446,18346,2934,8742,2567,3307,263,414,18346
201104,9601,2832,3137,397,15966,2645,7447,1971,3245,154,400,15966
201105,10238,3026,2307,311,15883,2737,8080,1445,3050,81,380,15883
201106,10384,2919,2000,343,15645,2734,8080,1214,3075,50,388,15645
201107,10583,3333,2061,356,16333,2788,8578,1171,3208,46,405,16333
201108,10507,3351,2218,380,16455,2700,8769,1101,3300,39,407,16455
201109,10294,3066,2218,395,15974,2595,8522,1125,3171,42,394,15974
201110,10648,3192,2501,360,16702,2910,8746,1402,3063,106,389,16702
201111,10764,3083,2989,400,17236,2922,8751,1778,3172,156,399,17236
201112,11242,3272,4372,467,19353,2898,9486,2712,3412,332,424,19353
201201,10780,2947,5144,499,19370,2578,8872,3227,3654,414,543,19370
201202,10286,2927,4921,505,18639,2506,8396,3138,3606,375,530,18639
201203,10348,2985,4007,471,17810,2604,8137,2655,3468,281,535,17810
201204,9914,2937,3076,421,16348,2584,7669,2002,3311,162,507,16348
201205,10678,3115,2244,370,16408,2685,8448,1454,3129,69,492,16408
201206,10492,3079,1988,387,15946,2358,8551,1246,3149,46,495,15946
201207,10399,3261,2023,418,16100,2438,8426,1274,3281,37,524,16100
201208,10443,3203,2252,376,16273,2610,8340,1229,3432,32,504,16273
201209,10525,3033,2176,385,16118,2569,8431,1257,3258,41,498,16118
201210,10516,3138,2417,385,16456,2714,8585,1554,3002,80,471,16456
201211,10921,3113,3465,431,17930,2706,8807,2376,3262,206,509,17930
201212,11069,3047,4888,567,19571,2665,9021,3317,3576,360,549,19571
201301,11170,3036,5397,511,20114,2621,8966,3619,3826,415,579,20114
201302,10184,2622,4543,445,17794,2455,7828,3051,3527,328,526,17794
201303,10721,3119,3681,413,17934,2607,8448,2640,3399,251,547,17934
201304,10227,3024,3182,386,16820,2445,8037,2217,3355,176,543,16820
201305,10472,3125,2396,354,16347,2525,8271,1656,3222,82,543,16347
201306,10689,3136,2028,362,16214,2725,8302,1334,3214,47,542,16214
201307,11021,3158,2089,353,16621,2835,8395,1311,3369,44,565,16621
201308,10503,3436,2236,363,16537,2518,8612,1228,3496,37,555,16537
201309,10438,2906,2105,340,15790,2540,8075,1183,3335,41,544,15790
201310,10750,3121,2340,339,16550,2699,8511,1487,3179,87,547,16550
201311,11047,3088,3358,380,17873,2751,8779,2188,3314,221,555,17873
201312,11699,3190,4409,471,19768,2883,9298,2965,3603,343,594,19768
201401,11400,2975,4677,440,19492,2905,8717,3190,3765,288,541,19492
201402,10487,2719,4145,430,17781,2707,7916,2812,3545,232,503,17781
201403,11265,3094,3466,401,18226,2885,8630,2459,3495,180,529,18226
201404,11090,3012,2699,372,17172,3111,8217,1822,3377,96,514,17172
201405,11119,3182,2188,339,16828,2948,8584,1484,3216,61,500,16828
201406,10890,3129,1984,349,16353,2966,8258,1279,3256,36,499,16353
201407,10987,3206,2051,365,16608,2806,8432,1293,3441,33,526,16608
201408,11328,3250,2155,361,17094,2928,8913,1181,3444,32,509,17094
201409,10735,3050,2085,347,16216,2849,8307,1163,3283,34,492,16216
201410,11114,3191,2371,362,17038,3070,8679,1415,3253,71,510,17038
201411,10814,3157,3139,405,17516,2922,8614,1935,3332,152,508,17516
201412,11668,3276,4668,511,20123,3102,9398,3007,3667,314,545,20123
201501,11601,3137,4982,514,20234,2807,9253,3119,3908,383,675,20234
201502,10482,3062,4468,458,18470,2672,8519,2669,3597,314,617,18470
201503,11182,3363,3810,464,18820,2894,8978,2485,3515,260,641,18820
201504,10821,3352,2940,412,17524,2792,8623,1844,3447,142,634,17524
201505,10791,3305,2285,365,16745,3025,8356,1377,3259,74,613,16745
201506,10933,3141,2061,383,16518,2853,8422,1196,3298,51,622,16518
201507,11121,3312,2083,395,16912,2983,8615,1165,3388,46,627,16912
201508,11354,3537,2305,403,17599,2841,9274,1099,3607,42,650,17599
201509,10874,3332,2194,396,16796,2863,8697,1079,3416,44,637,16796
201510,11312,3492,2453,385,17643,3175,9205,1289,3222,85,609,17643
201511,11014,3367,3142,432,17955,2822,9096,1790,3344,195,621,17955
201512,11932,3451,4298,495,20175,3121,9816,2569,3594,333,651,20175
201601,11422,3449,5153,508,20533,2710,9682,3140,3840,447,616,20533
201602,10996,3200,4791,500,19486,2460,9367,2886,3747,361,587,19486
201603,11038,3498,4000,495,19030,2592,9354,2511,3633,266,613,19030
201604,10467,3525,2899,404,17295,2551,8737,1758,3451,130,601,17295
201605,11156,3582,2319,361,17417,2582,9441,1357,3288,77,577,17417
201606,10957,3351,2121,474,16903,2478,9058,1178,3412,55,604,16903
201607,11250,3468,2172,332,17221,2827,8990,1152,3491,57,586,17221
201608,11618,3910,2480,438,18447,2745,10050,1072,3819,48,616,18447
201609,11235,3528,2320,400,17482,2819,9362,1046,3544,47,592,17482
201610,11536,3518,2432,389,17874,2903,9636,1303,3315,92,575,17874
201611,11828,3503,3470,431,19233,2911,9925,2017,3462,238,588,19233
201612,12196,3739,4566,515,21015,2763,10663,2766,3744,365,619,21015
201701,12274,3299,5040,517,21130,2969,9876,3127,3887,440,737,21130
201702,11168,3296,4867,518,19849,2541,9272,3030,3820,380,707,19849
201703,12338,3621,3976,489,20425,2883,10196,2580,3660,288,729,20425
201704,11160,3489,3030,420,18098,2594,9145,1889,3510,149,706,18098
201705,11613,3732,2325,390,18059,2736,9717,1381,3332,82,692,18059
201706,11407,3647,2196,418,17668,2709,9460,1193,3412,64,704,17668
201707,12137,3838,2313,435,18723,2911,10010,1142,3716,65,748,18723
201708,11825,3752,2508,445,18529,2728,9857,1097,3900,62,752,18529
201709,11733,3689,2390,417,18229,2727,9799,1154,3641,59,726,18229
201710,11895,3549,2457,383,18284,2706,10122,1295,3300,99,667,18284
201711,12228,3614,3605,465,19911,2909,10195,2153,3551,277,709,19911
201712,12744,3658,5153,563,22118,2947,10641,3219,3937,476,762,22118
201801,12570,3541,5734,583,22427,2779,10381,3648,4159,535,787,22427
201802,11319,3160,5341,553,20374,2488,9228,3331,4021,445,741,20374
201803,11649,3604,3984,489,19726,2618,9638,2631,3693,294,734,19726
201804,11836,3545,3055,445,18882,2641,9679,1931,3615,167,756,18882
201805,12180,3581,2491,390,18642,2770,9837,1557,3486,109,753,18642
201806,11778,3666,2261,412,18117,2745,9509,1330,3530,72,750,18117
201807,12151,3695,2327,415,18588,2735,9713,1288,3787,70,790,18588
201808,12011,3842,2726,456,19035,2735,9733,1205,4260,64,828,19035
201809,11705,3597,2423,455,18181,2516,9716,1187,3761,61,762,18181
201810,11850,3216,2655,390,18111,2775,9252,1588,3438,143,709,18111
201811,11829,3731,3477,446,19484,2833,9640,2190,3604,257,731,19484
201812,12618,3792,4860,531,21801,2845,10503,3094,3897,465,770,21801
201901,12541,3813,5551,579,22483,2647,10649,3478,4184,504,788,22483
201902,11375,3276,4798,485,19934,2616,9205,2971,3814,409,700,19934
201903,11839,3662,3846,457,19804,2738,9560,2558,3706,303,743,19804
201904,11611,3772,3310,436,19128,2667,9494,2132,3650,201,758,19128
201905,11766,3305,2459,390,17918,2700,9099,1580,3501,102,738,17918
201906,11260,3661,2202,400,17523,2647,9032,1311,3493,76,728,17523
201907,12291,3527,2282,429,18529,2660,9814,1244,3695,78,763,18529
201908,12183,4089,2627,457,19355,2751,10183,1160,4090,78,807,19355
201909,11635,2910,2437,420,17402,2443,9012,1144,3754,70,739,17402
201910,11668,3623,2507,402,18199,2768,9490,1395,3494,112,691,18199
201911,12062,3612,3378,433,19484,2705,9958,2049,3536,270,707,19484
201912,12675,3747,4660,513,21595,2715,10630,2922,3847,445,748,21595
202001,12569,3246,5041,526,21383,2672,9995,3168,3984,463,818,21383
202002,11305,3138,4632,482,19557,2346,9001,2913,3827,409,779,19557
202003,11737,2951,3870,435,18994,2576,8868,2481,3687,313,784,18994
202004,11065,2981,3253,394,17693,2394,8618,1949,3481,213,770,17693
202005,11280,3678,2634,377,17969,2285,9841,1411,3296,110,752,17969
202006,11042,3361,2267,404,17074,2377,8961,1162,3419,82,773,17074
202007,11506,3372,2275,420,17574,2558,9051,1133,3618,83,814,17574
202008,11492,3320,2487,432,17731,2600,8938,1115,3836,91,826,17731
202009,11553,3267,2498,448,17765,2622,8903,1135,3880,79,842,17765
202010,11244,3191,2561,391,17387,2642,8742,1440,3360,145,744,17387
202011,10893,3645,3451,430,18419,2534,8925,2067,3539,277,767,18419
202012,12277,3286,4942,512,21018,2853,9502,3127,3872,505,825,21018
202101,12201,3053,5870,562,21687,2709,9345,3752,4193,587,833,21687
202102,11337,3012,4878,492,19719,2365,8998,3074,3886,418,742,19719
202103,12498,3142,3848,470,19958,2798,9589,2492,3704,298,805,19958
202104,12007,3377,3036,415,18835,2561,9525,1860,3603,173,825,18835
202105,12197,3398,2564,394,18553,2706,9556,1546,3512,128,819,18553
202106,11934,3506,2412,418,18269,2475,9642,1319,3615,97,807,18269
202107,12662,3409,2462,452,18985,2691,9836,1213,3954,103,842,18985
202108,12635,3311,2748,458,19152,2751,9748,1161,4208,92,869,19152
202109,12541,3342,2474,432,18788,2665,9952,1142,3854,85,811,18788
202110,12329,3176,2698,414,18616,2594,9810,1499,3598,144,707,18616
202111,12313,3282,3496,440,19530,2739,9648,2174,3683,283,733,19530
