2019-06-01-00-00-00,전시/행사,15543,197663,285600,178713,25622,6601,14337,187585,283258,180771,33358,10504,163241,15898,200715,286310,178074,23280,5394,77,546501,33,709742
2019-06-01-00-00-00,체험,8330,119185,165997,94844,14385,3617,5689,119916,150637,105856,19343,4917,121907,9468,118859,172580,90130,12272,3088,70,284450,37,406357
2019-06-01-00-00-00,콘서트,12334,155104,169785,107564,42097,12534,12834,135279,181271,104068,47390,18477,164792,12085,164742,164143,109262,39500,9588,67,334577,27,499369
2019-06-01-00-00-00,클래식,2130,23344,23173,16847,4810,1179,2380,22151,23852,15418,5554,2123,17154,2051,23730,22958,17305,4567,872,76,54323,36,71477
2019-03-01-00-00-00,강좌,3211,161304,227448,157509,29949,4379,4087,117110,240409,180102,35904,6188,239358,2569,192070,218458,141747,25804,3153,59,344442,39,583800
2019-03-01-00-00-00,국내숙박,10424,467990,1144737,827075,232898,59802,11521,386517,1061893,905256,286664,91349,932688,9876,509412,1186708,787573,205466,43891,66,1810512,39,2743200
2019-03-01-00-00-00,국내여행,6318,200394,400789,379435,210376,66335,6697,157435,387522,404958,210376,96533,429597,6065,222000,407485,366547,210502,51046,66,833923,40,1263520
2019-03-01-00-00-00,국악/전통예술,277,3955,7860,10239,8372,4386,189,2562,5979,10267,9622,6471,15089,340,4997,9271,10222,7439,2825,56,19650,23,35090
2019-03-01-00-00-00,뮤지컬,1187,27866,147592,66091,7428,2476,985,27184,129529,81906,9676,3385,60634,1238,28068,153150,61240,6745,2173,76,192006,28,252640
2019-03-01-00-00-00,발레/무용,56,1047,2403,2186,291,152,0,611,1621,2869,452,584,982,67,1133,2556,2052,260,67,84,5154,13,6136
2019-03-01-00-00-00,스포츠,35,6164,4801,3541,1056,170,0,5375,5590,3441,1290,71,7569,65,6878,4089,3635,844,260,52,8199,11,15768
2019-03-01-00-00-00,연극,13122,387052,262183,129610,44360,10328,9566,349464,299601,127663,46307,13884,313231,15238,408978,240172,130710,43175,8296,63,533339,38,846570
2019-03-01-00-00-00,오페라,0,13336,19382,19879,9063,3776,0,13774,17223,16359,9469,8611,19631,0,13159,20272,21339,8893,1780,70,45805,19,65436
2019-03-01-00-00-00,전시/행사,12873,213796,276640,160157,22909,5745,14396,189918,279201,169362,29761,9551,166109,12389,221409,275810,157250,20764,4499,76,526011,26,692120
2019-03-01-00-00-00,체험,12724,176190,155931,86583,14709,5098,6407,153856,157601,104450,19672,9159,148893,15882,187379,155119,77605,12182,3023,67,302297,33,451190
2019-03-01-00-00-00,콘서트,11476,90543,86771,55587,15539,3905,11951,89620,89594,49546,17676,5435,87061,11265,91018,85399,58515,14484,3166,67,176760,24,263821
2019-03-01-00-00-00,클래식,1450,26273,24551,15226,4747,1347,1568,24234,25345,14792,5880,1781,20606,1398,27104,24227,15396,4290,1170,71,52251,36,73593
2019-05-01-00-00-00,강좌,4963,140279,145453,97712,25196,6982,3744,109700,151300,115420,31337,9128,159839,5721,159166,141836,86818,21410,5636,62,260789,39,420628
2019-05-01-00-00-00,구기스포츠,2444,28651,64592,90798,17067,1828,2649,34524,70815,76134,20353,883,141712,1951,15650,50852,123228,9776,3902,31,63668,34,205380
2019-05-01-00-00-00,국내숙박,13193,476124,1206729,967201,216367,52479,14952,416902,1114084,1026130,279107,80625,967494,12607,505149,1252172,937883,185290,38407,67,1964306,39,2931800
2019-05-01-00-00-00,국내여행,8385,226679,468033,450564,189226,54643,8385,180980,449026,481449,200825,76864,503111,8385,251835,478654,433514,182937,42205,64,894419,40,1397530
2019-05-01-00-00-00,국악/전통예술,1913,15790,13301,13784,3446,576,1108,12759,14975,14423,4437,1108,8298,2084,16425,12954,13647,3241,464,83,40512,27,48810
2019-05-01-00-00-00,뮤지컬,2223,36849,137954,73776,8421,2301,1752,34913,125741,83871,12056,3191,62766,2354,37450,141772,70638,7297,2014,76,198758,30,261524
2019-05-01-00-00-00,발레/무용,89,1022,1757,1766,367,69,0,1115,1505,1505,780,167,913,109,1002,1811,1823,278,48,82,4158,14,5071
2019-05-01-00-00-00,스포츠,97,6437,6920,4228,1635,866,0,5301,7866,4276,1709,1025,11301,220,7896,5703,4167,1536,658,44,8879,8,20180
2019-05-01-00-00-00,아웃도어스포츠,708,56606,80086,58752,8709,3458,1125,43522,79336,68231,11105,4979,110420,250,71127,80919,48252,6042,1750,47,97920,36,208340
2019-05-01-00-00-00,연극,24379,495995,303768,184677,58035,11866,13484,440226,364715,182088,63105,14994,388339,30528,527278,269572,186079,55230,10032,64,690381,38,1078720
2019-05-01-00-00-00,오페라,0,6889,24483,22958,4976,3445,0,8257,31373,19815,1650,1650,14431,0,6475,22406,23906,5973,3984,77,48314,19,62745
2019-05-01-00-00-00,전시/행사,21056,221120,264801,176082,24767,5853,16559,197709,276079,177867,34617,10849,178438,22555,228971,261090,175440,21484,4211,75,535313,31,713750
2019-05-01-00-00-00,체험,16629,206375,198313,116065,17357,5151,9238,176757,205591,139188,22060,6999,179164,20100,220204,194953,105259,15173,4255,68,380725,35,559889
2019-05-01-00-00-00,콘서트,18743,283720,298680,177368,63106,18055,20462,249416,308223,175648,77206,28888,275122,17969,299797,294209,178142,56572,13068,68,584635,27,859757
2019-05-01-00-00-00,클래식,4029,37023,37903,30213,7238,2448,3399,38128,37178,26980,9437,3720,30902,4243,36643,38152,31342,6466,1997,74,87952,38,118854
2019-10-01-00-00-00,강좌,3678,212539,154770,93666,21283,4463,3923,172425,157124,124218,26138,6522,191256,3482,238383,153250,73903,18194,3139,61,299144,39,490400
2019-10-01-00-00-00,구기스포츠,3147,25253,61927,80012,20843,3069,4157,23621,62374,79293,21503,3302,143745,311,29856,60625,82051,18998,2409,26,50505,34,194250
2019-10-01-00-00-00,국내숙박,19443,522001,1335650,1071684,277148,69534,18784,452137,1218991,1137593,354591,113034,1054547,19773,555615,1391673,1040047,240239,48443,68,2240913,39,3295460
2019-10-01-00-00-00,국내여행,8919,205412,444517,464903,224524,67385,7786,155864,419035,491092,242503,99238,467168,9485,229195,456833,452303,215888,51955,67,948492,40,1415660
2019-10-01-00-00-00,국악/전통예술,3273,15223,18646,13191,4858,2234,781,12846,22970,10515,6231,4089,14356,4123,16039,17170,14109,4393,1596,75,43069,36,57425
2019-10-01-00-00-00,뮤지컬,7013,74527,364986,167607,17660,5738,5164,62095,326288,209747,25182,8989,146632,7587,78161,376270,155239,15428,4781,77,490898,38,637530
2019-10-01-00-00-00,발레/무용,1295,19808,34942,29791,4592,1405,0,15639,33133,30948,9587,2525,14693,1543,20626,35291,29570,3618,1185,84,77140,39,91833
2019-10-01-00-00-00,스포츠,40647,319794,583788,365540,81152,25351,34840,348828,620894,320927,76762,14021,1033879,55943,242324,484507,484507,93191,55943,27,382394,15,1416273
2019-10-01-00-00-00,아웃도어스포츠,1066,40368,72600,40860,6742,2378,722,33085,70845,47766,7890,3723,83655,1427,48061,74453,33577,5544,951,49,80375,37,164030
2019-10-01-00-00-00,연극,27978,433566,254900,165803,45159,11454,13707,394321,300060,170215,44502,16055,328601,35677,454972,230396,163456,45441,9013,65,610259,38,938860
2019-10-01-00-00-00,오페라,1311,28817,28928,23277,8218,1782,194,26906,30774,20128,12197,2133,28623,1810,29657,28115,24671,6445,1634,69,63709,31,92332
2019-10-01-00-00-00,전시/행사,33589,372857,444504,297705,43858,15707,26339,343859,461178,291302,64640,20661,302055,36005,382522,438946,299759,36972,14136,75,906165,36,1208220
2019-10-01-00-00-00,체험,28205,278292,301869,219001,36675,9256,16416,261788,299773,234195,45232,15805,244499,33007,285016,302742,212801,33182,6636,71,619979,38,873210
2019-10-01-00-00-00,콘서트,28616,230969,264525,184948,61074,13877,25872,229009,285536,167073,58409,18189,258723,29949,231989,254098,193729,62407,11760,67,525287,38,784010
2019-10-01-00-00-00,클래식,5105,33994,35693,28430,9006,2513,3121,33180,38159,24403,11771,4096,32124,5874,34304,34740,29979,7939,1905,72,82606,40,114730
2019-09-01-00-00-00,강좌,5571,247876,163069,95300,23473,5517,4705,199361,173400,128184,27530,7680,200118,6112,276920,156903,75612,21039,4219,63,340742,39,540860
2019-09-01-00-00-00,구기스포츠,1612,21187,60018,75058,17485,1772,2037,19416,62658,75218,16741,1081,127548,549,25704,53304,74633,19416,3561,28,49602,34,177150
2019-09-01-00-00-00,국내숙박,14801,494114,1154167,904832,222579,55787,15370,434342,1069347,952081,287190,87950,910810,14516,522292,1194014,882916,192124,40417,68,1935470,39,2846280
2019-09-01-00-00-00,국내여행,6275,179996,363844,349863,154455,46458,6055,144657,342377,375844,166565,65393,363294,6385,197830,374633,336762,148290,36990,67,737596,40,1100890
2019-09-01-00-00-00,국악/전통예술,1412,9975,10950,9070,2453,840,1176,8702,11054,9292,2824,1648,9715,1506,10485,10909,8980,2304,517,71,24635,35,34697
2019-09-01-00-00-00,뮤지컬,3346,48476,220124,101542,11633,3929,2918,43223,192074,129670,15329,5836,93372,3501,50110,228917,92711,10504,3346,76,295678,36,389050
2019-09-01-00-00-00,발레/무용,618,5805,10948,8250,1919,275,245,3905,11833,7199,3661,976,5285,704,6245,10743,8495,1519,111,81,22531,36,27816
2019-09-01-00-00-00,스포츠,786,6493,6098,5509,1770,591,733,5862,7326,5129,1098,1098,11473,850,7224,4674,5949,2550,0,46,9774,13,21247
2019-09-01-00-00-00,아웃도어스포츠,409,50639,89888,44740,6931,2064,584,36018,93802,54124,7496,2667,101239,214,66818,85586,34363,6327,1382,48,93451,37,194690
2019-09-01-00-00-00,연극,18545,433732,250052,136207,40108,8607,10204,390962,290338,142329,42592,10826,319442,23248,457956,227248,132657,38777,7365,64,567898,38,887340
2019-09-01-00-00-00,오페라,543,14039,19217,21128,7767,1227,479,11053,18744,20188,11053,2404,17900,569,15221,19409,21499,6470,761,72,46028,23,63928
2019-09-01-00-00-00,전시/행사,22630,294002,343293,210905,36922,8429,19881,269174,343384,213103,54879,15758,229045,23546,302248,343201,210172,30875,5955,75,687135,36,916180
2019-09-01-00-00-00,체험,17210,250654,226680,145785,22300,6964,10648,238198,222126,155830,32612,10246,207595,20157,256346,228756,141231,17679,5491,69,462065,38,669660
2019-09-01-00-00-00,콘서트,18896,145768,166991,101367,26063,6376,17779,139997,171878,97877,29042,8843,158241,19454,148654,164478,103089,24527,5166,66,307174,31,465415
2019-09-01-00-00-00,클래식,2141,23448,29085,19579,5094,1768,1930,23935,29175,16603,6391,3074,21088,2214,23278,29045,20650,4623,1290,74,60020,40,81108
2020-01-01-00-00-00,뮤지컬,1261,25320,117724,81199,13339,3662,48506,1552,24302,140983,66308,7591,1770,194024,1504,24520,136302,69315,8755,0.89,2159,8,242530
2020-01-01-00-00-00,콘서트,7755,58037,56230,23560,7988,2149,57616,8627,51855,53817,32094,7693,1635,98104,8315,54144,54720,28917,7802,1.17,1822,6,155720
2020-01-01-00-00-00,연극,8723,298634,221195,95949,31428,9855,213072,22439,339983,168726,95749,32027,6858,452778,18045,326599,185706,95816,31828,1.18,7857,14,665850
2020-01-01-00-00-00,전시/행사,6017,68728,120997,78823,11194,3500,54959,8909,75728,126002,71071,6161,1388,234301,8360,74398,125047,72546,7116,0.62,1793,5,289260
2020-01-01-00-00-00,클래식,997,11790,14015,10618,3675,1686,11978,971,10652,14879,13168,2400,710,30802,975,10969,14635,12458,2755,2.3,984,12,42780
2020-01-01-00-00-00,오페라,2775,16673,23153,18526,12038,3705,21524,1806,12630,27066,20209,12991,2168,55346,2075,13767,25967,19740,12722,3.38,2598,4,76870
2020-01-01-00-00-00,발레/무용,0,94,234,234,72,36,80,11,85,297,259,16,2,590,9,86,290,257,22,0.86,6,2,670
2020-01-01-00-00-00,국악/전통예술,130,1226,3520,3558,1564,783,2803,50,1392,4409,4005,750,175,7977,70,1350,4182,3891,958,3.07,331,6,10780
